SalePrice,Gr_Liv_Area,Lot_Area,Year_Built,Total_Bsmt_SF,Central_Air,Overall_Cond
215000,1656,31770,1960,1080,Y,5
105000,896,11622,1961,882,Y,6
172000,1329,14267,1958,1329,Y,6
244000,2110,11160,1968,2110,Y,5
189900,1629,13830,1997,928,Y,5
195500,1604,9978,1998,926,Y,6
213500,1338,4920,2001,1338,Y,5
191500,1280,5005,1992,1280,Y,5
236500,1616,5389,1995,1595,Y,5
189000,1804,7500,1999,994,Y,5
175900,1655,10000,1993,763,Y,5
185000,1187,7980,1992,1168,Y,7
180400,1465,8402,1998,789,Y,5
171500,1341,10176,1990,1300,Y,5
212000,1502,6820,1985,1488,Y,5
538000,3279,53504,2003,1650,Y,5
164000,1752,12134,1988,559,Y,7
394432,1856,11394,2010,1856,Y,2
141000,864,19138,1951,864,Y,5
210000,2073,13175,1978,1542,Y,6
190000,1844,11751,1977,1844,Y,6
170000,1173,10625,1974,1053,Y,6
216000,1674,7500,2000,814,Y,5
149000,1004,11241,1970,1004,Y,7
149900,1078,12537,1971,1078,Y,6
142000,1056,8450,1968,1056,Y,6
126000,882,8400,1970,882,Y,5
115000,864,10500,1971,864,Y,5
184000,1337,5858,1999,1405,Y,5
96000,987,1680,1971,483,Y,5
105500,1092,1680,1971,525,Y,5
88000,1092,1680,1971,525,Y,5
127500,1069,4043,1977,1069,Y,5
149900,1456,2280,1975,855,Y,6
120000,836,2280,1975,836,Y,6
146000,1456,2280,1978,855,Y,5
376162,2334,12858,2009,1590,Y,5
306000,1704,11478,2007,1704,Y,5
395192,1940,10159,2009,1930,Y,5
290941,1544,12883,2009,1544,Y,5
220000,1541,12182,2005,1541,Y,5
275000,1698,11520,2005,1698,Y,5
259000,1822,14122,2005,1822,Y,5
214000,1535,10171,2004,1517,Y,5
611657,2364,12919,2009,2330,Y,5
224000,1358,6371,2009,1358,Y,5
500000,2696,14300,2003,2846,Y,5
320000,2250,13650,2002,1671,Y,5
319900,1752,7658,2005,1752,Y,5
205000,1370,7132,2006,1370,Y,5
175500,1626,2628,2003,764,Y,5
199500,1324,18494,2005,1324,Y,5
160000,1145,3203,2006,1145,Y,5
192000,1269,3182,2004,1256,Y,5
184500,1374,13300,2004,384,Y,5
216500,1960,7851,2002,860,Y,5
185088,1733,8577,2004,847,Y,5
180000,1430,7750,2000,384,Y,5
222500,2035,9505,2001,884,Y,5
333168,2599,14774,1999,1393,Y,5
355000,2475,17433,1998,1629,Y,5
260400,1720,10593,1996,1720,Y,5
325000,2622,12256,1994,1463,Y,5
290000,2270,11764,1999,1152,Y,7
221000,1839,16770,1998,1195,Y,5
410000,3238,14720,1995,2033,Y,5
221500,1595,8987,2005,1595,Y,5
204500,1218,9215,2009,1218,Y,5
215200,1547,8640,2009,756,Y,5
262500,1566,9000,2008,1566,Y,5
254900,1947,12552,2004,991,Y,5
271500,1468,10440,2005,1468,Y,5
233000,2084,10142,2004,956,Y,5
181000,1659,11920,2004,831,Y,5
205000,2110,8880,1994,948,Y,5
143000,923,8012,1980,923,Y,5
189000,1845,11218,1992,1055,Y,5
99500,918,7892,1979,918,Y,5
125000,752,7175,1984,744,Y,5
194500,1744,9453,1993,996,Y,7
152000,1097,9672,1984,1040,Y,5
171000,1564,8400,1980,650,Y,6
67500,1012,9800,1920,816,N,5
112000,1902,8930,1978,0,Y,5
148000,1155,11782,1961,1109,Y,7
138500,894,8450,1965,894,Y,8
122000,900,9819,1967,882,Y,5
133000,1040,7500,1963,1040,Y,5
127000,1040,6897,1962,1040,Y,8
169000,1494,15410,1974,1208,Y,6
190000,1923,10186,1992,750,Y,5
362500,2349,13143,1993,1231,Y,5
285000,2225,11134,1992,1390,Y,5
260000,1488,4835,2004,1488,Y,5
190000,1680,3515,2004,840,Y,5
155000,1200,3215,2004,600,Y,5
151000,1200,3182,2004,600,Y,5
149500,1200,2544,2004,600,Y,5
152000,1236,2544,2005,600,Y,5
222000,1478,4403,2009,1470,Y,5
177500,1573,2117,2000,756,Y,5
177000,1512,2980,2000,756,Y,5
155000,1416,2572,1999,696,Y,5
147110,1080,2403,2003,530,Y,5
267916,1418,12853,2010,1642,Y,5
254000,1848,7379,2000,975,Y,5
155000,788,4420,1980,728,Y,5
206000,1226,3880,1978,1226,Y,6
130500,1479,13517,1976,725,Y,8
230000,1492,8000,2002,1492,Y,5
218500,1829,10456,1967,1829,Y,6
243500,2495,10791,1993,1280,Y,5
205000,1610,10603,1977,1610,Y,7
212500,1891,18837,1978,1224,Y,5
196500,1714,10421,1988,980,Y,5
197500,1381,9360,1972,1161,Y,7
171000,1645,9600,1971,715,Y,6
142250,1232,9600,1966,1232,Y,5
143000,1328,9790,1963,1328,Y,5
128950,1225,9320,1959,950,Y,5
159000,1209,9900,1966,1209,Y,5
178900,1510,9680,1967,1510,Y,6
136300,1775,10600,1964,533,Y,5
180500,1152,14112,1964,1152,Y,7
137500,1054,8800,1963,936,Y,7
84900,1728,13260,1962,1728,Y,6
142125,1078,9717,1950,1078,Y,6
197600,2461,9724,1952,1140,Y,7
172500,1556,17360,1949,782,Y,6
116500,858,7207,1958,858,Y,7
76500,1306,5350,1940,728,Y,2
128000,1063,9920,1954,1056,Y,5
153000,1520,9600,1955,1156,Y,6
132000,1268,7800,1954,1268,Y,6
178000,1128,11380,1966,1080,Y,8
154300,2274,11600,1960,1105,Y,5
180000,2207,19900,1970,1947,Y,5
190000,1888,16492,1966,1517,Y,6
135000,1604,8267,1958,1604,Y,5
214000,1480,8197,2003,1480,Y,5
136000,1143,8050,1959,1143,Y,5
165500,1700,10552,1959,1398,Y,5
145000,1314,8400,1957,1314,Y,6
148000,1194,8760,1959,1194,Y,6
142000,1188,12160,1959,1188,Y,5
167500,1264,9300,1960,1268,Y,5
108538,1206,10725,1959,1206,Y,5
159500,1580,10032,1959,1244,Y,5
108000,1337,8382,1956,832,Y,5
135000,1064,10950,1952,864,Y,7
122500,972,10895,1955,972,Y,6
119000,988,13587,1958,988,Y,5
109000,1057,7922,1953,1057,Y,7
105000,985,7898,1920,576,Y,7
107500,827,7200,1955,0,Y,7
144900,1086,10200,1954,1086,Y,7
129000,936,5868,1956,936,Y,7
97500,1458,17503,1948,912,Y,5
144000,1056,6979,1980,1056,Y,5
162000,1287,9830,1959,1063,Y,7
242000,2978,11275,1967,710,Y,7
132000,1224,8064,1948,816,Y,8
154000,1246,7500,1959,1246,Y,7
166000,1385,8520,1952,910,Y,4
134800,900,7200,1951,900,Y,7
160000,1116,10000,1962,1116,Y,6
148000,1175,7635,1960,1175,Y,6
192000,1395,9760,1963,1395,Y,7
155000,1839,7700,1966,756,Y,5
80400,1844,4800,1900,709,Y,5
96500,1140,8800,1910,576,Y,7
109500,936,4485,1920,936,Y,7
115000,1028,8960,1927,1008,Y,6
143000,1347,5805,1957,1347,Y,7
107400,1605,5790,1915,840,N,6
80000,747,4608,1945,747,Y,6
119000,804,7200,1940,788,Y,7
130000,1316,5500,1929,926,Y,7
119000,1251,6900,1938,827,Y,7
129000,1633,11851,1948,1027,Y,7
100000,1245,8239,1920,1008,Y,6
12789,832,9656,1923,678,N,2
105900,720,8520,1928,624,Y,8
150000,1566,9600,1900,930,N,9
139000,1652,10800,1915,686,Y,6
240000,2268,9000,1890,346,Y,9
76500,2256,9045,1910,840,N,3
149700,1236,7407,1957,912,Y,7
125500,1363,7740,1910,622,Y,7
122500,2290,11340,1885,777,Y,6
140750,1470,10560,1922,738,Y,7
128500,1612,5830,1950,988,Y,6
209500,2068,7793,1922,1108,N,7
87000,765,5000,1925,765,N,7
134000,1132,6000,1939,608,Y,7
128000,1196,6000,1940,572,Y,6
132000,1453,6360,1942,835,Y,6
139900,1416,6000,1948,780,Y,7
123900,1040,6240,1936,528,Y,7
138400,1536,6240,1930,928,Y,5
109500,1068,6120,1923,1124,Y,5
140000,1710,10300,1921,576,Y,6
149500,1962,8094,1915,888,Y,5
159900,1560,12900,1912,780,Y,8
122000,1324,3068,1920,662,Y,8
110000,816,8472,1963,816,N,5
55000,1092,5600,1930,0,N,5
140000,1812,7630,1900,360,Y,9
244400,2403,24090,1940,1032,Y,7
173000,1675,15263,1959,1422,Y,5
107500,1224,10632,1917,689,N,3
100000,1392,9900,1915,1212,N,4
95000,919,6001,1940,600,N,5
93369,1884,6449,1907,707,N,1
114900,1680,6048,1910,856,Y,7
94000,1020,6342,1875,780,N,8
136000,1832,10773,1967,1832,N,3
136500,1768,10778,1968,1768,N,5
131500,1039,11625,1965,1039,Y,4
121500,1392,11341,1957,1392,Y,6
125000,912,8521,1967,912,Y,5
154000,1060,8246,1968,1060,Y,8
137900,892,7800,1966,864,Y,7
158000,1352,9364,1969,663,Y,7
137250,864,7832,1968,864,Y,5
160250,1373,7424,1978,1319,Y,5
163000,1440,11227,1968,720,Y,5
158900,1386,11616,1978,672,Y,5
